Epoch: 01 | Time: 0m 25s
	Train Loss: 1.435 | Train PPL:   4.200
	 Val. Loss: 2.756 |  Val. PPL:  15.732
Epoch: 02 | Time: 0m 25s
	Train Loss: 1.107 | Train PPL:   3.024
	 Val. Loss: 1.234 |  Val. PPL:   3.434
Epoch: 03 | Time: 0m 25s
	Train Loss: 0.943 | Train PPL:   2.567
	 Val. Loss: 1.128 |  Val. PPL:   3.090
Epoch: 04 | Time: 0m 25s
	Train Loss: 0.829 | Train PPL:   2.291
	 Val. Loss: 0.904 |  Val. PPL:   2.469
Epoch: 05 | Time: 0m 25s
	Train Loss: 0.771 | Train PPL:   2.162
	 Val. Loss: 0.996 |  Val. PPL:   2.707
Epoch: 06 | Time: 0m 24s
	Train Loss: 0.749 | Train PPL:   2.116
	 Val. Loss: 1.035 |  Val. PPL:   2.814
Epoch: 07 | Time: 0m 24s
	Train Loss: 0.663 | Train PPL:   1.941
	 Val. Loss: 0.940 |  Val. PPL:   2.559
Epoch: 08 | Time: 0m 24s
	Train Loss: 0.648 | Train PPL:   1.911
	 Val. Loss: 0.908 |  Val. PPL:   2.479
Epoch: 09 | Time: 0m 24s
	Train Loss: 0.619 | Train PPL:   1.856
	 Val. Loss: 1.051 |  Val. PPL:   2.860
Epoch: 10 | Time: 0m 24s
	Train Loss: 0.559 | Train PPL:   1.750
	 Val. Loss: 1.085 |  Val. PPL:   2.959
Epoch: 11 | Time: 0m 25s
	Train Loss: 0.514 | Train PPL:   1.671
	 Val. Loss: 1.302 |  Val. PPL:   3.676
Epoch: 12 | Time: 0m 24s
	Train Loss: 0.501 | Train PPL:   1.650
	 Val. Loss: 0.992 |  Val. PPL:   2.697
Epoch: 13 | Time: 0m 24s
	Train Loss: 0.498 | Train PPL:   1.646
	 Val. Loss: 1.311 |  Val. PPL:   3.710
Epoch: 14 | Time: 0m 24s
	Train Loss: 0.457 | Train PPL:   1.579
	 Val. Loss: 1.084 |  Val. PPL:   2.956
Epoch: 15 | Time: 0m 24s
	Train Loss: 0.420 | Train PPL:   1.523
	 Val. Loss: 1.248 |  Val. PPL:   3.482
Epoch: 16 | Time: 0m 24s
	Train Loss: 0.420 | Train PPL:   1.521
	 Val. Loss: 1.366 |  Val. PPL:   3.920
Epoch: 17 | Time: 0m 24s
	Train Loss: 0.410 | Train PPL:   1.506
	 Val. Loss: 1.413 |  Val. PPL:   4.108
Epoch: 18 | Time: 0m 25s
	Train Loss: 0.420 | Train PPL:   1.521
	 Val. Loss: 1.749 |  Val. PPL:   5.746
Epoch: 19 | Time: 0m 24s
	Train Loss: 0.409 | Train PPL:   1.505
	 Val. Loss: 1.468 |  Val. PPL:   4.340
Epoch: 20 | Time: 0m 24s
	Train Loss: 0.404 | Train PPL:   1.498
	 Val. Loss: 1.205 |  Val. PPL:   3.337
Epoch: 21 | Time: 0m 24s
	Train Loss: 0.385 | Train PPL:   1.469
	 Val. Loss: 1.539 |  Val. PPL:   4.659
Epoch: 22 | Time: 0m 24s
	Train Loss: 0.379 | Train PPL:   1.461
	 Val. Loss: 1.934 |  Val. PPL:   6.919
Epoch: 23 | Time: 0m 24s
	Train Loss: 0.351 | Train PPL:   1.420
	 Val. Loss: 1.504 |  Val. PPL:   4.499
Epoch: 24 | Time: 0m 24s
	Train Loss: 0.360 | Train PPL:   1.433
	 Val. Loss: 1.602 |  Val. PPL:   4.961
Epoch: 25 | Time: 0m 24s
	Train Loss: 0.326 | Train PPL:   1.386
	 Val. Loss: 1.878 |  Val. PPL:   6.537
Epoch: 26 | Time: 0m 24s
	Train Loss: 0.343 | Train PPL:   1.409
	 Val. Loss: 1.844 |  Val. PPL:   6.323
Epoch: 27 | Time: 0m 24s
	Train Loss: 0.364 | Train PPL:   1.440
	 Val. Loss: 1.722 |  Val. PPL:   5.594
Epoch: 28 | Time: 0m 24s
	Train Loss: 0.330 | Train PPL:   1.390
	 Val. Loss: 1.829 |  Val. PPL:   6.226
Epoch: 29 | Time: 0m 24s
	Train Loss: 0.362 | Train PPL:   1.436
	 Val. Loss: 2.045 |  Val. PPL:   7.726
Epoch: 30 | Time: 0m 24s
	Train Loss: 0.376 | Train PPL:   1.456
	 Val. Loss: 1.545 |  Val. PPL:   4.687
